Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence,Hour,Minute,DayOfWeek,Weekend,CongestionRatio
10.740840166521663,106.61899246873142,28,35,1.0,14,10,1,1,0.8
10.785070445194592,106.68331340921323,17,27,1.0,14,11,1,1,0.6296
10.835298215641501,106.72935479345391,36,42,0.997479,14,41,1,1,0.8571
10.745754766198267,106.65326266831877,42,42,1.0,16,18,1,1,1.0
10.7549373008113,106.67848844133415,21,32,1.0,17,49,1,1,0.6563
10.755608615763382,106.67347943578082,19,27,1.0,21,27,1,1,0.7037
10.801406421807085,106.71148440879679,29,42,1.0,7,51,4,0,0.6905
10.774028664434528,106.70357076461706,14,28,1.0,8,32,4,0,0.5
10.813928881466124,106.66511432455972,18,33,0.999242,8,59,4,0,0.5455
10.865229381280965,106.72366973948475,36,49,1.0,11,2,4,0,0.7347
10.865229381280965,106.72366973948475,33,49,1.0,16,14,7,1,0.6735
10.752616652291238,106.72509685338922,39,39,1.0,12,10,5,0,1.0
10.78948793356203,106.71518838181179,36,36,1.0,13,10,5,0,1.0
10.772727584493625,106.69804225297563,11,23,0.968292,18,10,5,0,0.4783
10.880537767027526,106.81481342866444,53,53,1.0,19,7,5,0,1.0
10.759484371982321,106.6840537511244,18,28,1.0,19,48,5,0,0.6429
10.752408891679814,106.7022703818112,18,34,1.0,10,5,5,0,0.5294
10.880537767027526,106.81481342866444,40,53,1.0,13,20,5,0,0.7547
10.741860769464234,106.73790365482627,32,44,1.0,21,5,5,0,0.7273
10.83886351241477,106.67566625482782,29,36,1.0,7,57,2,0,0.8056
10.765187049751795,106.67550552599073,25,36,1.0,12,44,2,0,0.6944
10.80223925742187,106.6478722259914,32,41,1.0,12,55,2,0,0.7805
10.755608615763382,106.67347943578082,18,28,1.0,20,39,2,0,0.6429
10.7144382088356,106.73711688366167,35,35,1.0,21,4,2,0,1.0
10.77898143649726,106.67684447140958,19,35,1.0,10,1,7,1,0.5429
10.823400120373712,106.68551227436063,21,31,1.0,10,53,7,1,0.6774
10.7549373008113,106.67848844133415,19,32,1.0,15,32,7,1,0.5938
10.817236653231737,106.63191539530457,25,35,1.0,20,35,7,1,0.7143
10.752408891679814,106.7022703818112,27,34,1.0,7,6,7,1,0.7941
10.772727584493625,106.69804225297563,16,24,1.0,8,38,7,1,0.6667
10.77898143649726,106.67684447140958,23,34,1.0,8,51,7,1,0.6765
10.94927106740351,106.87196348224562,27,42,1.0,16,32,7,1,0.6429
10.740840166521663,106.61899246873142,28,35,1.0,20,26,7,1,0.8
10.752616652291238,106.72509685338922,26,39,1.0,18,13,4,0,0.6667
10.823400120373712,106.68551227436063,22,31,1.0,19,27,4,0,0.7097
10.767112828386699,106.6927618222887,9,19,0.98,7,34,1,1,0.4737
10.755608615763382,106.67347943578082,28,28,1.0,7,50,1,1,1.0
10.785070445194592,106.68331340921323,20,27,1.0,7,53,1,1,0.7407
10.80223925742187,106.6478722259914,41,41,1.0,8,32,1,1,1.0
10.786216596454727,106.71836665482695,40,40,1.0,9,33,1,1,1.0
10.823400120373712,106.68551227436063,22,32,1.0,9,33,1,1,0.6875
10.798986343749618,106.72697056646841,45,45,1.0,17,1,1,1,1.0
10.741860769464234,106.73790365482627,45,45,1.0,21,3,1,1,1.0
10.740840166521663,106.61899246873142,24,35,1.0,9,43,4,0,0.6857
10.7144382088356,106.73711688366167,25,35,1.0,11,33,4,0,0.7143
10.78866360854368,106.69551372228901,32,41,1.0,11,36,4,0,0.7805
10.767112828386699,106.6927618222887,13,19,1.0,12,20,4,0,0.6842
10.813928881466124,106.66511432455972,23,34,0.999046,13,41,4,0,0.6765
10.7549373008113,106.67848844133415,23,33,1.0,13,56,4,0,0.697
10.7144382088356,106.73711688366167,25,35,1.0,14,12,4,0,0.7143
10.756158554057757,106.66631758181126,21,28,1.0,14,19,4,0,0.75
10.83886351241477,106.67566625482782,29,36,1.0,14,23,4,0,0.8056
10.7144382088356,106.73711688366167,26,35,1.0,14,36,4,0,0.7429
10.759484371982321,106.6840537511244,19,27,1.0,14,49,4,0,0.7037
10.94927106740351,106.87196348224562,35,42,1.0,15,32,4,0,0.8333
10.786216596454727,106.71836665482695,35,40,1.0,15,57,4,0,0.875
10.7549373008113,106.67848844133415,14,33,1.0,17,31,4,0,0.4242
10.754895139302109,106.67839188181134,16,33,1.0,18,19,4,0,0.4848
10.765187049751795,106.67550552599073,18,34,1.0,18,24,4,0,0.5294
10.774028664434528,106.70357076461706,14,29,1.0,19,13,4,0,0.4828
10.785070445194592,106.68331340921323,17,27,1.0,20,12,4,0,0.6296
10.740840166521663,106.61899246873142,34,34,1.0,20,43,4,0,1.0
10.752408891679814,106.7022703818112,24,32,1.0,21,25,4,0,0.75
10.823400120373712,106.68551227436063,32,32,1.0,5,57,1,1,1.0
10.740840166521663,106.61899246873142,34,34,1.0,6,4,1,1,1.0
10.774028664434528,106.70357076461706,28,28,1.0,6,23,1,1,1.0
10.835298215641501,106.72935479345391,42,42,1.0,6,48,1,1,1.0
10.78948793356203,106.71518838181179,36,36,1.0,7,15,1,1,1.0
10.835298215641501,106.72935479345391,42,42,1.0,7,26,1,1,1.0
10.782680856341083,106.70051548181169,30,30,1.0,8,18,1,1,1.0
