Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence,Hour,Minute,DayOfWeek,Weekend,CongestionRatio
10.774028664434528,106.70357076461706,20,27,1.0,15,33,1,0,0.7407
10.752616652291238,106.72509685338922,39,39,1.0,15,33,1,0,1.0
10.745754766198267,106.65326266831876,36,43,1.0,15,34,1,0,0.8372
10.94927106740351,106.87196348224562,34,41,1.0,15,34,1,0,0.8293
10.78866360854368,106.695513722289,32,41,1.0,15,34,1,0,0.7805
10.801406421807084,106.7114844087968,32,42,1.0,15,34,1,0,0.7619
10.843150534972033,106.6151343241409,22,35,1.0,15,34,1,0,0.6286
10.880537767027526,106.81481342866444,41,53,1.0,15,34,1,0,0.7736
10.740840166521664,106.61899246873142,25,36,1.0,15,34,1,0,0.6944
10.798986343749618,106.7269705664684,45,45,1.0,15,34,1,0,1.0
10.741860769464234,106.73790365482628,44,44,1.0,15,34,1,0,1.0
10.752408891679814,106.7022703818112,25,34,1.0,15,34,1,0,0.7353
10.786216596454729,106.71836665482697,40,40,1.0,15,34,1,0,1.0
10.78948793356203,106.7151883818118,36,36,1.0,15,34,1,0,1.0
10.80223925742187,106.6478722259914,30,39,1.0,15,34,1,0,0.7692
10.813928881466124,106.66511432455972,22,34,0.998923,15,34,1,0,0.6471
10.755608615763382,106.67347943578082,19,27,1.0,15,34,1,0,0.7037
10.782680856341084,106.70051548181168,18,30,1.0,15,34,1,0,0.6
10.754895139302109,106.67839188181134,22,32,1.0,15,35,1,0,0.6875
10.785070445194592,106.68331340921324,11,27,1.0,15,35,1,0,0.4074
10.7549373008113,106.67848844133415,22,32,1.0,15,35,1,0,0.6875
10.77898143649726,106.67684447140958,23,34,1.0,15,35,1,0,0.6765
10.7671128283867,106.6927618222887,15,19,1.0,15,35,1,0,0.7895
10.77847212665258,106.69389510879644,29,41,1.0,15,35,1,0,0.7073
10.796057790235078,106.67492629345334,22,34,0.998923,15,35,1,0,0.6471
10.8352982156415,106.72935479345392,36,42,0.996666,15,35,1,0,0.8571
10.777562007197462,106.7041335430398,20,30,1.0,15,35,1,0,0.6667
10.83886351241477,106.67566625482782,26,35,1.0,15,35,1,0,0.7429
10.765187049751797,106.67550552599072,23,35,1.0,15,35,1,0,0.6571
10.75948437198232,106.6840537511244,21,28,0.997894,15,35,1,0,0.75
10.865229381280963,106.72366973948476,34,49,1.0,15,36,1,0,0.6939
10.72279213640514,106.72808623948244,24,37,1.0,15,36,1,0,0.6486
10.823400120373712,106.68551227436063,32,32,1.0,15,36,1,0,1.0
10.756158554057755,106.66631758181126,20,29,1.0,15,36,1,0,0.6897
10.7144382088356,106.73711688366168,25,35,1.0,15,36,1,0,0.7143
10.817236653231737,106.63191539530456,21,35,1.0,15,37,1,0,0.6
10.772727584493625,106.69804225297564,15,24,0.990438,15,39,1,0,0.625
10.774028664434528,106.70357076461706,28,28,1.0,15,39,1,0,1.0
10.752616652291238,106.72509685338922,39,39,1.0,15,39,1,0,1.0
10.745754766198267,106.65326266831876,34,42,1.0,15,39,1,0,0.8095
10.94927106740351,106.87196348224562,31,41,1.0,15,39,1,0,0.7561
10.78866360854368,106.695513722289,33,42,1.0,15,40,1,0,0.7857
10.801406421807084,106.7114844087968,33,42,1.0,15,40,1,0,0.7857
10.843150534972033,106.6151343241409,21,34,1.0,15,40,1,0,0.6176
10.880537767027526,106.81481342866444,40,53,1.0,15,40,1,0,0.7547
10.740840166521664,106.61899246873142,25,35,1.0,15,41,1,0,0.7143
10.798986343749618,106.7269705664684,45,45,1.0,15,41,1,0,1.0
10.741860769464234,106.73790365482628,44,44,1.0,15,41,1,0,1.0
10.752408891679814,106.7022703818112,24,34,1.0,15,41,1,0,0.7059
10.786216596454729,106.71836665482697,40,40,1.0,15,41,1,0,1.0
10.78948793356203,106.7151883818118,36,36,1.0,15,41,1,0,1.0
10.80223925742187,106.6478722259914,27,41,1.0,15,41,1,0,0.6585
10.813928881466124,106.66511432455972,22,34,0.998657,15,41,1,0,0.6471
10.755608615763382,106.67347943578082,18,27,0.998951,15,42,1,0,0.6667
10.782680856341084,106.70051548181168,19,30,1.0,15,42,1,0,0.6333
10.754895139302109,106.67839188181134,21,33,1.0,15,42,1,0,0.6364
10.785070445194592,106.68331340921324,12,27,1.0,15,42,1,0,0.4444
10.7549373008113,106.67848844133415,20,32,1.0,15,42,1,0,0.625
10.77898143649726,106.67684447140958,23,34,1.0,15,42,1,0,0.6765
10.7671128283867,106.6927618222887,20,20,1.0,15,42,1,0,1.0
10.77847212665258,106.69389510879644,28,42,1.0,15,42,1,0,0.6667
10.796057790235078,106.67492629345334,22,34,0.998657,15,42,1,0,0.6471
10.8352982156415,106.72935479345392,36,42,0.997296,15,42,1,0,0.8571
10.777562007197462,106.7041335430398,19,29,1.0,15,43,1,0,0.6552
10.83886351241477,106.67566625482782,26,36,0.998447,15,43,1,0,0.7222
10.765187049751797,106.67550552599072,25,36,1.0,15,43,1,0,0.6944
10.75948437198232,106.6840537511244,20,27,0.998947,15,43,1,0,0.7407
10.865229381280963,106.72366973948476,33,49,1.0,15,43,1,0,0.6735
10.72279213640514,106.72808623948244,25,36,0.999769,15,43,1,0,0.6944
10.823400120373712,106.68551227436063,23,31,1.0,15,43,1,0,0.7419
10.756158554057755,106.66631758181126,18,29,1.0,15,43,1,0,0.6207
10.7144382088356,106.73711688366168,24,35,1.0,15,43,1,0,0.6857
10.817236653231737,106.63191539530456,22,35,1.0,15,43,1,0,0.6286
10.772727584493625,106.69804225297564,11,24,0.992807,15,45,1,0,0.4583
10.774028664434528,106.70357076461706,22,27,1.0,15,46,1,0,0.8148
10.752616652291238,106.72509685338922,39,39,1.0,15,46,1,0,1.0
10.745754766198267,106.65326266831876,36,43,0.999762,15,46,1,0,0.8372
10.94927106740351,106.87196348224562,25,41,1.0,15,46,1,0,0.6098
10.78866360854368,106.695513722289,32,41,1.0,15,46,1,0,0.7805
10.801406421807084,106.7114844087968,32,41,1.0,15,46,1,0,0.7805
10.843150534972033,106.6151343241409,21,35,1.0,15,46,1,0,0.6
10.880537767027526,106.81481342866444,42,53,1.0,15,46,1,0,0.7925
10.740840166521664,106.61899246873142,25,35,1.0,15,46,1,0,0.7143
10.798986343749618,106.7269705664684,45,45,1.0,15,46,1,0,1.0
10.741860769464234,106.73790365482628,44,44,1.0,15,46,1,0,1.0
10.752408891679814,106.7022703818112,22,34,1.0,15,46,1,0,0.6471
10.786216596454729,106.71836665482697,40,40,1.0,15,46,1,0,1.0
10.78948793356203,106.7151883818118,36,36,1.0,15,46,1,0,1.0
10.80223925742187,106.6478722259914,31,41,1.0,15,46,1,0,0.7561
10.813928881466124,106.66511432455972,22,34,0.998736,15,46,1,0,0.6471
10.755608615763382,106.67347943578082,19,28,1.0,15,47,1,0,0.6786
10.782680856341084,106.70051548181168,18,30,1.0,15,47,1,0,0.6
10.754895139302109,106.67839188181134,22,33,1.0,15,47,1,0,0.6667
10.785070445194592,106.68331340921324,14,27,1.0,15,47,1,0,0.5185
10.7549373008113,106.67848844133415,22,33,1.0,15,47,1,0,0.6667
10.77898143649726,106.67684447140958,23,34,1.0,15,47,1,0,0.6765
10.7671128283867,106.6927618222887,14,20,1.0,15,47,1,0,0.7
10.77847212665258,106.69389510879644,28,41,1.0,15,47,1,0,0.6829
10.796057790235078,106.67492629345334,21,33,0.998692,15,47,1,0,0.6364
10.8352982156415,106.72935479345392,35,42,0.998017,15,47,1,0,0.8333
10.777562007197462,106.7041335430398,18,29,1.0,15,47,1,0,0.6207
10.83886351241477,106.67566625482782,27,37,1.0,15,47,1,0,0.7297
10.765187049751797,106.67550552599072,19,35,1.0,15,47,1,0,0.5429
10.75948437198232,106.6840537511244,17,27,1.0,15,48,1,0,0.6296
10.865229381280963,106.72366973948476,34,49,1.0,15,48,1,0,0.6939
10.72279213640514,106.72808623948244,25,36,1.0,15,48,1,0,0.6944
10.823400120373712,106.68551227436063,32,32,1.0,15,48,1,0,1.0
10.756158554057755,106.66631758181126,21,29,1.0,15,48,1,0,0.7241
10.7144382088356,106.73711688366168,25,35,1.0,15,48,1,0,0.7143
10.817236653231737,106.63191539530456,21,35,1.0,15,48,1,0,0.6
